date,url,sha256,bytes,rows_country
20230518,http://data.gdeltproject.org/events/20230518.export.CSV.zip,89363494794f9b34608f12780c9c4808f9fa854678cec352e64826f290cd5b45,11856403,6250
20230519,http://data.gdeltproject.org/events/20230519.export.CSV.zip,882db1c5351b69d09632d61b42ad662063aebd050349b8d7106ff7adac5f46ed,11608761,6927
20230520,http://data.gdeltproject.org/events/20230520.export.CSV.zip,6e6ee2e703b0969d59a5e83c17b3c32ed55f1ef6427723a69c0aa6e27be6b9c5,6785360,4950
20230521,http://data.gdeltproject.org/events/20230521.export.CSV.zip,79910a82dc6a4cd2b59bccfbab77a05f1d8488ba7a973c7885ba8f999fff7bf5,5956061,4597
20230522,http://data.gdeltproject.org/events/20230522.export.CSV.zip,50b88dfec5201572149325c11c904deb10cd973c7616024d6c05825e848b3c27,10074684,5729
20230523,http://data.gdeltproject.org/events/20230523.export.CSV.zip,66c73d8b9ae903f993192d73e6e1f2c9a33d8154c071a842d6ff0a2343c0421f,10925689,6387
20230524,http://data.gdeltproject.org/events/20230524.export.CSV.zip,069e5b718eebfb8f7b2b22b1d2d214047c82d1fd108e4e0a6fb4b4c64fda5c1b,11289059,6311
20230525,http://data.gdeltproject.org/events/20230525.export.CSV.zip,ebbba2a6d3d5c6dc6b61897064900f297c1ec6222f6e362fb13ac0eb07e5af52,11311944,6268
20230526,http://data.gdeltproject.org/events/20230526.export.CSV.zip,71ae02085a3a184f9190885c8c0ddc66279bb3bec607868e0c69d0af9124ef19,10358538,6042
20230527,http://data.gdeltproject.org/events/20230527.export.CSV.zip,8bb95addfe8ae8fd28cbfcc9e318afa6f3ce4413e1dee2f7335b37e92f1f4d6f,5893566,3341
20230528,http://data.gdeltproject.org/events/20230528.export.CSV.zip,f202cff0d9cae9bce344a3f7f3e675ac703ca4837475f90df4c21e1f65728616,5170447,2934
20230529,http://data.gdeltproject.org/events/20230529.export.CSV.zip,6a47f6926af6d85fa676ed1330aa10fbce4819a4271e3e553c9737168b28b8d6,7354326,4336
20230530,http://data.gdeltproject.org/events/20230530.export.CSV.zip,68cda76671ab66313f81163c97a5874dbb9bf08dd07aed38854639994a6013eb,10137540,5157
20230531,http://data.gdeltproject.org/events/20230531.export.CSV.zip,8b83a00c2b2e6f3f43f10ca3d75a6527b754fe5a460ec5ffa6ba74597ca38625,11122076,5341
